公司名称,职位,薪资,城市,工作地址,经验要求,学历要求,职位描述
ADI,应用工程师实习生（上海）,5k-6k,上海,上海市浦东新区上海高科技园区祖冲之路2290号展想广场5楼,经验应届毕业生,硕士及以上,"职位描述：职位名称：ApplicatioEgieerIter工作地点：Shaghai职位描述：Jobdescriptio:lResearchaddesighighvoltage(1000V+)adprecisiosigalsourcebasedolatestADIprecisioproducts.lDevelopthesoftwareadGUItocotrolthesigalsource.lResposibleforIsolatiomodulatorperformaceadCMTItest.lDocumetthedesig,developmetprocessadqualificatioresult.lCreateHWtestspecificatio,performHWtestadcreatetestreports.Requiremet:lMSEEiEEorrelatedmajors.lExperieceiayofbelowisaplus.lBoardlevelschematicadPCBlayoutdesig.lUderstadbasicaalogcircuitdesigtheory.lUderstadICevaluatioadperformacespecificatiomeasuremettheoryadtechique.lVerilogadLabvieworPythoprogrammiglaguage.lSolidproblem-solvigadtrouble-shootigskills.lFamiliarwithcommoistrumetssuchasspectrumaalyzer,sigalsourceadoscilloscope.lSelf-motivatio,goodteamplayeradcommuicatioskills.lAtleast2mothsitership,thelogerthebetter."
华云数据,后端开发工程师（实习岗位）,4k-5k,上海,国通路118号中航天盛广场A栋,经验应届毕业生,本科及以上,职位描述：职位描述：1.本科及以上学历，软件、计算机等相关专业学生。2.熟悉操作系统、算法、设计模式、网络等基础知识。3.熟悉Golag/Java/Pytho一种语言。4.有自动化测试工具、平台和web开发经验者优先。5.优秀的沟通能力、主动学习能力和团队意识，强大的责任感有留用机会，一周提供至少3天的实习，持续时间4个月以上实习薪资：本科200元/天，硕士250元/天
快仓智能仓储,算法工程师( 调度/调优),12k-22k,上海,钦州北路1198号82幢12层,经验应届毕业生,本科及以上,职位描述：岗位职责：1.从事整数规划、机器学习、数据分析等算法的研究和工程化实现；2.对已有算法进行调优改进，提高算法的精度和性能；3.探索新算法解决应用中的新问题。岗位要求：1.计算机相关专业本科及以上学历，具备扎实的数学功底和算法功底；2.精通数据挖掘，机器学习，整数规划等的基本理论和常用算法，并从事过相关研发工作；3.掌握Java/Pytho或相关其它语言，扎实的编码和调试能力；熟练在Liux环境下工作；4.熟悉MySQL、SQLServer、Oracle等数据库一种或多种；5.扎实的独立分析问题、解决问题的能力，具备良好的需求理解能力、沟通协调能力和团队合作精神；具有高度的责任感和耐心细致的工作态度；能够承受较大工作压力。
DiningCity 鼎食聚,Ruby on Rails 实习工程师,1k-2k,上海,广元路135号,经验应届毕业生,本科及以上,"职位描述：Back-edsoftwareegieeriterRubyoRails实习工程师AtDiigCity,webuildsoftwarethatusersallacrossChiaadtheworldusetomakereservatios.Whetherthroughourappsorparterprograms,westrivetocreateproductsthathavebigimpact.鼎食聚的服务是面向中国以及全球提供高端餐饮预订服务，我们的使命是提供更好的用餐体验。不管是通过我们的APP、网站还是合作伙伴，我们都在努力地创造对用户具有重大影响和有价值的产品。Wearelookigforaback-edsoftwareegieertobepartofourjoureyadhelpustackleambitiouschalleges.我们寻找一名优秀的实习工程师，想通过实践提高能力，与我们国际化的团队一起迎接挑战。Resposibilities职责-WorkwithourdevelopmetteamtobuildewfeaturesforourAPIs;为网站开发新功能;-Learewframeworkstoimproveourback-ed’scodebaseadperformace;不断学习新的东西，优化代码;-ApplyyouracademickowledgetorealuserfacigproblemsthatwillhaveavisibleimpactoDiigCity’sproducts;将丰富的学识和经验用于解决用户真正面临的问题，使产品更加完善;-Buildreusablecodeadlibrariesforfutureuse;写出具有可读性、可重用性、可测试性的高质量代码;-WorkwithProducttoesurethetechicalfeasibilityoffeaturerequiremets与产品一起工作研究ui/用户体验设计的技术可行性;Whoyouare要求-Youareadetailorieted,self-motivated,stroglearerwhoiseagertobroadehisportfolioorrealworldapplicatios/projects;希望您是一个注重细节、自我激励、学习能力强、渴望拓宽眼界和有项目经验的人;-Youareabachelordegreeicomputersciece,electricalegieerigorsimilarmajorsschoolstudetorfreshgraduatelookigforafirstexperieceibuildigfeatures;计算机、电子信息技术或相关专业本科；在校学生或刚毕业的大学生，正在寻找实习机会;-YouhavestrogkowledgeofRuby,Pytho,Elixiretc;掌握RubyoRails或有Pytho和Elixir的web开发经验;-YoucaatleastreadadwriteiEglish,spokeEglishisaplus;要能读写英语（口语是加分项）;-YouhaveproficietuderstadigofversiocotroltoolssuchasGitadcashowaGitHubrepositorywithcorrespodigprojects;有完整项目经验或在github上有开源项目（加分项）;-Experiecedealigwithsomefrot-edlaguagesisaplus;同时熟悉前端开发（加分项）;-Chieseudergraduate中国籍在校大学生"
大搜车,测试实习生（上海）07-02-02,3k-5k,上海,协和路1033号文洋大厦B栋2楼,经验应届毕业生,本科及以上,职位描述：【岗位职责】1.负责所属产品线的基本TC设计与功能测试；2.反馈产品问题或流程问题积极推进问题解决；3.整理产品测试文档。【任职要求】1.2019届本科及以上学历，计算机或相关专业毕业；2.具备基础的Web知识和移动知识；3.熟悉软件的开发测试流程，掌握常用测试用例设计方法；4.具备编码能力者优先（java、pytho、shell）；5.乐于沟通和表达，注重团队合作，具备良好的抗压能力；7.能全职上班者优先。
Qtum,C/C++开发实习生,6k-9k,上海,愚园路,经验应届毕业生,本科及以上,职位描述：1.负责Qtum区块链产品的新特性开发，包括Qtum节点，钱包，浏览器，企业版服务等相关特性；2.探索区块链技术应用场景，加速应用落地；3.探索和实现区块链前沿技术，如闪电网络/跨链/隐私/虚拟机/共识机制等。职位要求：1.211/985计算机相关专业大学本科以上，研二或大三学生优先；2.具备扎实的编程功底，熟悉数据结构与算法，熟悉C/C++/Pytho/Go/Rust等至少一门主流编程语言；3.良好的英语阅读能力和快速学习能力；4.具备良好的沟通能力及团队协作能力；5.了解区块链原理或Solidity智能合约编写者优先。
lighten,后台开发实习生,4k-8k,上海,浦东嘉里城Wework,经验应届毕业生,本科及以上,职位描述：岗位职责：1.负责基于微服务架构的AI生产系统的后台设计与研发2.使用容器化部署技术对进行服务进行动态发布与管理3.与客户端及系统其它模块之间的通信接口的设计与实现，维护相关文档4.将服务端架构优化到极致，最大限度提供服务的性能和可访问性，降低服务运维成本职位要求：1.计算机相关专业本科或研究生在读，985/211优先，保证每周能够出勤3天及以上2.掌握至少一门服务端编程语言，Java/NodeJS/Pytho/Golag/C/C++等均可，NodeJS优先3.熟练使用Liux操作系统及常用命令，熟练使用MySQL/PostgreSQL4.熟悉容器化开发和部署，在实际项目中使用过docker/k8s进行开发和部署者优先4.能够独立完成服务端代码的编写、测试、部署与维护，认为代码是责任而不是资产5.有良好的沟通能力，能够与PM沟通需求，并与前端客户端等对接联调6.有良好的英文读写能力，能熟练使用Google搜索引擎查找阅读英文资料7、项目经验可以加分，有研发实习经历可酌情放宽学校要求；8、沟通顺畅，思路清晰，热爱学习，有团队意识。团队优势：团队年轻活力，有机会接触到最前沿的AI技术，并在实际落地的AI项目中发挥作用，创造用户体验一流的AI产品。有竞争力的薪酬，工作餐补助，工作环境优美：弹性工时，日常工作有吃不完的零食，与不定期的聚餐/郊游活动
直觉,软件开发实习生前端,4k-5k,上海,张江高科技园区香楠路408弄25号501,经验应届毕业生,本科及以上,"职位描述：职位要求：1.本科及以上学历，理工类专业，酷爱编程；2.有着自己开发过网站的经验的应聘者佳；3.熟练使用PHP/ASP.Net，对HTML、CSS、JavaScript有比较深刻的理解和运用能力；4.熟悉数据库系统(MySQL/SQLServer/Postgresql/Oracle中任意一种,或熟悉NoSQL/NewSQL)；5.熟悉Uix/Liux系统；具有相关开发经验者佳；6.能够使用Perl，Pytho，Shell等任一语言者佳；7.喜欢接触新技术并有学习兴趣和快速学习的能力；8.有较强的解决实际问题的能力及团队沟通合作能力。"
节付宝,h5工程师,5k-9k,上海,逸仙路2816号华滋奔腾大厦A栋15层,经验1-3年,大专及以上,职位描述：一、岗位职责：1、负责公司产品前端代码开发、页面重构以及交互设计逻辑处理；2、负责按照项目计划，在保证质量的前提下，按时完成开发任务；二、任职要求：1、大专以上学历，熟悉非前端的语言（如Java/PHP/C/C++/Pytho/Ruby）者优先；2、熟悉Javascript，熟练使用HTML、CSS、Ajax、JQuery等技术；3、掌握HTML5/CSS3和基于App内的Html5。4、计算机（应用、网络、科学技术）、软件工程、电子信息、机械、自动化等相关专业；三、就职待遇：1、享受国家规定的保险福利待遇（五险一金、带薪年假、补助等）；2、公司福利：周末双休、餐费补贴、节日福利；
大雁资产,软件工程师（实习）,6k-12k,上海,平安财富大厦,经验应届毕业生,本科及以上,"职位描述：岗位职责：在高级工程师指导下研究金融软件平台相关技术和实现方案任职要求：985、211等国内外名校理工科本硕在读熟悉Pytho,bash等脚本语言，能在Liux环境下熟练的使用脚本语言工作有C++编程经验者优先有数据库管理经验者优先做事踏实细心，认真自律，责任心强，乐于学习新的技术，有良好的团队合作精神薪资福利：公司已完成应届毕业生用人单位信息登记，欢迎应届毕业生加入！有竞争力的薪酬、多样化的福利制度，让员工无后顾之忧；实力超群的技术、投研团队为交易岗位提供策略与技术支持，为员工提供更坚实的平台；广阔的上升空间，鼓励员工挖掘潜力，发挥才智，获得丰厚回报；热情温暖的团队，人性化的管理，最大程度地包容员工的个性；高档的工作午餐、丰富的茶歇点心、舒适的办公空间，为员工提供更优质的工作环境。"
